Department,Month,Source,Applicants,Hires
Product,2025-04,LinkedIn,130,6
Product,2025-04,Referral,57,6
Product,2025-04,Career Site,68,4
Product,2025-04,Indeed,60,2
Product,2025-04,Recruiter Outreach,41,2
Product,2025-04,Glassdoor,27,1
Product,2025-05,LinkedIn,114,4
Product,2025-05,Referral,56,6
Product,2025-05,Career Site,65,2
Product,2025-05,Indeed,52,1
Product,2025-05,Recruiter Outreach,40,4
Product,2025-05,Glassdoor,25,1
Product,2025-06,LinkedIn,133,4
Product,2025-06,Referral,104,16
Product,2025-06,Career Site,96,6
Product,2025-06,Indeed,63,2
Product,2025-06,Recruiter Outreach,52,5
Product,2025-06,Glassdoor,37,1
Product,2025-07,LinkedIn,91,4
Product,2025-07,Referral,48,8
Product,2025-07,Career Site,57,3
Product,2025-07,Indeed,57,2
Product,2025-07,Recruiter Outreach,26,2
Product,2025-07,Glassdoor,17,1
Product,2025-08,LinkedIn,61,2
Product,2025-08,Referral,45,5
Product,2025-08,Career Site,31,1
Product,2025-08,Indeed,19,1
Product,2025-08,Recruiter Outreach,25,2
Product,2025-08,Glassdoor,18,1
Product,2025-09,LinkedIn,103,5
Product,2025-09,Referral,73,12
Product,2025-09,Career Site,62,3
Product,2025-09,Indeed,46,2
Product,2025-09,Recruiter Outreach,31,3
Product,2025-09,Glassdoor,32,1
Product,2025-10,LinkedIn,119,5
Product,2025-10,Referral,93,15
Product,2025-10,Career Site,74,3
Product,2025-10,Indeed,47,1
Product,2025-10,Recruiter Outreach,47,3
Product,2025-10,Glassdoor,32,1
Product,2025-11,LinkedIn,122,4
Product,2025-11,Referral,94,16
Product,2025-11,Career Site,77,4
Product,2025-11,Indeed,55,2
Product,2025-11,Recruiter Outreach,44,3
Product,2025-11,Glassdoor,24,1
Product,2025-12,LinkedIn,108,5
Product,2025-12,Referral,71,8
Product,2025-12,Career Site,60,2
Product,2025-12,Indeed,42,1
Product,2025-12,Recruiter Outreach,46,3
Product,2025-12,Glassdoor,32,1
Sales,2024-07,LinkedIn,78,4
Sales,2024-07,Referral,45,7
Sales,2024-07,Career Site,45,2
Sales,2024-07,Indeed,36,1
Sales,2024-07,Recruiter Outreach,32,2
Sales,2024-07,Glassdoor,18,1
Sales,2024-08,LinkedIn,78,3
Sales,2024-08,Referral,67,11
Sales,2024-08,Career Site,60,3
Sales,2024-08,Indeed,32,1
Sales,2024-08,Recruiter Outreach,40,3
Sales,2024-08,Glassdoor,14,0
Sales,2024-09,LinkedIn,62,3
Sales,2024-09,Referral,60,10
Sales,2024-09,Career Site,50,3
Sales,2024-09,Indeed,36,1
Sales,2024-09,Recruiter Outreach,28,2
Sales,2024-09,Glassdoor,22,1
Sales,2024-10,LinkedIn,88,3
Sales,2024-10,Referral,67,7
Sales,2024-10,Career Site,48,2
Sales,2024-10,Indeed,37,1
Sales,2024-10,Recruiter Outreach,29,2
Sales,2024-10,Glassdoor,23,1
Sales,2024-11,LinkedIn,83,2
Sales,2024-11,Referral,63,8
Sales,2024-11,Career Site,61,4
Sales,2024-11,Indeed,45,1
Sales,2024-11,Recruiter Outreach,38,2
Sales,2024-11,Glassdoor,19,1
Sales,2024-12,LinkedIn,70,3
Sales,2024-12,Referral,36,6
Sales,2024-12,Career Site,30,2
Sales,2024-12,Indeed,28,1
Sales,2024-12,Recruiter Outreach,18,1
Sales,2024-12,Glassdoor,18,1
Sales,2025-01,LinkedIn,120,6
Sales,2025-01,Referral,55,9
Sales,2025-01,Career Site,61,4
Sales,2025-01,Indeed,57,1
Sales,2025-01,Recruiter Outreach,39,3
Sales,2025-01,Glassdoor,32,1
Sales,2025-02,LinkedIn,61,3
Sales,2025-02,Referral,32,6
Sales,2025-02,Career Site,31,2
Sales,2025-02,Indeed,22,1
Sales,2025-02,Recruiter Outreach,21,1
Sales,2025-02,Glassdoor,13,0
Sales,2025-03,LinkedIn,96,3
Sales,2025-03,Referral,80,8
Sales,2025-03,Career Site,51,3
Sales,2025-03,Indeed,48,1
Sales,2025-03,Recruiter Outreach,32,2
Sales,2025-03,Glassdoor,19,1
Sales,2025-04,LinkedIn,99,3
Sales,2025-04,Referral,48,6
Sales,2025-04,Career Site,43,2
Sales,2025-04,Indeed,42,2
Sales,2025-04,Recruiter Outreach,33,2
Sales,2025-04,Glassdoor,28,1
Sales,2025-05,LinkedIn,95,4
Sales,2025-05,Referral,60,10
Sales,2025-05,Career Site,71,3
Sales,2025-05,Indeed,36,1
Sales,2025-05,Recruiter Outreach,33,2
Sales,2025-05,Glassdoor,20,1
Sales,2025-06,LinkedIn,138,6
Sales,2025-06,Referral,98,14
Sales,2025-06,Career Site,87,4
Sales,2025-06,Indeed,68,2
Sales,2025-06,Recruiter Outreach,44,4
Sales,2025-06,Glassdoor,35,1
Sales,2025-07,LinkedIn,92,4
Sales,2025-07,Referral,56,6
Sales,2025-07,Career Site,54,3
Sales,2025-07,Indeed,38,1
Sales,2025-07,Recruiter Outreach,34,2
Sales,2025-07,Glassdoor,23,1
Sales,2025-08,LinkedIn,102,3
Sales,2025-08,Referral,71,11
Sales,2025-08,Career Site,60,3
Sales,2025-08,Indeed,48,2
Sales,2025-08,Recruiter Outreach,31,2
Sales,2025-08,Glassdoor,19,0
Sales,2025-09,LinkedIn,137,5
Sales,2025-09,Referral,92,15
Sales,2025-09,Career Site,51,2
Sales,2025-09,Indeed,59,2
Sales,2025-09,Recruiter Outreach,35,2
Sales,2025-09,Glassdoor,26,1
Sales,2025-10,LinkedIn,92,4
Sales,2025-10,Referral,49,6
Sales,2025-10,Career Site,63,4
Sales,2025-10,Indeed,38,1
Sales,2025-10,Recruiter Outreach,26,2
Sales,2025-10,Glassdoor,10,0
Sales,2025-11,LinkedIn,92,3
Sales,2025-11,Referral,51,5
Sales,2025-11,Career Site,64,4
Sales,2025-11,Indeed,34,1
Sales,2025-11,Recruiter Outreach,32,3
Sales,2025-11,Glassdoor,28,1
Sales,2025-12,LinkedIn,93,4
Sales,2025-12,Referral,104,18
Sales,2025-12,Career Site,73,3
Sales,2025-12,Indeed,42,1
Sales,2025-12,Recruiter Outreach,38,2
Sales,2025-12,Glassdoor,24,1
